Player 1,P1 Score,Player 2,P2 Score,Winner
CFBase,76,CFRandom,113,CFRandom
CFRandom,80,CFBase,99,CFBase
CFBase,65,CFRandom,95,CFRandom
CFRandom,132,CFBase,42,CFRandom
CFBase,-2,CFRandom,78,CFRandom
CFRandom,103,CFBase,20,CFRandom
CFBase,-10,CFRandom,107,CFRandom
CFRandom,70,CFBase,-17,CFRandom
CFBase,-8,CFRandom,65,CFRandom
CFRandom,68,CFBase,-6,CFRandom
CFBase,3,CFRandom,92,CFRandom
CFRandom,76,CFBase,-16,CFRandom
CFBase,0,CFRandom,71,CFRandom
CFRandom,75,CFBase,7,CFRandom
CFBase,0,CFRandom,66,CFRandom
CFRandom,76,CFBase,-11,CFRandom
CFBase,7,CFRandom,71,CFRandom
CFRandom,93,CFBase,6,CFRandom
CFBase,-4,CFRandom,78,CFRandom
CFRandom,72,CFBase,7,CFRandom